Streaking,Unnaturalness,NoiseVisual,DGM Dissimilarity to GT,WMGM Dissimilarity to GT,CALC Dissimilarity to GT,VEINS Dissimilarity to GT,mean visual,rmse,rmse_detrend,rmse_detrend_Tissue,rmse_detrend_Blood,rmse_detrend_DGM,DeviationFromLinearSlope,CalcStreak,DeviationFromCalcMoment,DeviationFromLinearSlope (Log),SSIM,XSIM,HFEN,CC,MI,MAD,GXE,SSIM_detrend,XSIM_detrend,HFEN_detrend,MAD_detrend,GXE_detrend,Offset,Submission Identifier,Number of submission in Stage 2,Sim1,Sim2,Full name of the algorithm,Preferred Acronym,Algorithm-type,Does your algorithm incorporate information derived from magnitude images?,Regularization terms,Did your algorithm use the provided frequency map or the four individual echo phase images?,Publication-ready description of the reconstruction technique,Publications that describe the algorithm,Algorithm publicly available?,"If your algorithm is not yet publicly available, would you be willing to make it available at the end of the challenge?",Specific information about this solution,"Herewith, I permit the QSM Challenge committee  to publish my uploaded files (calculated maps) after the completion of the challenge."
1,1.5,0.5,0.5,0,0.8333333,0.8333333,1,44.29784,49.34207,56.77839,102.7736,25.12841,0.1261285,0.08126885,23.53269,0.0087883985,0.944212376211565,0.732777547143308,44.040989,0.89657098,0.49840441,43.019321,66.234863,0.944499559192646,0.733189391052305,44.113045,42.797829,65.906219,-1.25E-10,9DA40BwhyA,1,9DA40BwhyA_Sim1_Step1.nii,9DA40BwhyA_Sim2_Step1.nii,QSM with a Total Generalized Variation,wTGV,Spatial-domain iterative reconstruction,Yes,"L2, Generalized total variation",Individual echo phase images,"The method consists in using a weighted sum of phases and magnitude with magnitude and TE, and a R2s image.
The QSM is solved with a Total Generalized Variation regularization with spatially variable fidelity and regularization weights.
The wheighted sum of magnitude is a data fidelity spatially variable weight.
The R2s image is a regularization spatially variable weight.","
Yanez,F.,Fan,A.,Bilgic,B.,Milovic,C.,Adalsteinsson,E.,&Irarrazaval,P. (2013, June). Quantitative Susceptibility Map Reconstruction via a Total Generalized Vari- ation Regularization. 2013 International Workshop on Pattern Recognition in Neu- roimaging, 203–206. doi: 10.1109/PRNI.2013.59

Langkammer, C., Bredies, K., Poser, B. a., Barth, M., Reishofer, G., Fan, A. P., . . . Ropele, S. (2015). Fast quantitative susceptibility mapping using 3D EPI and total generalized variation. NeuroImage(2014). doi: 10.1016/j.neuroimage.2015.02.041
",https://gitlab.com/cmilovic/FANSI-toolbox,Is already publicly available,"alpha = 1.6675e-04
mu1 = 541*1.6675e-04
iterations = 100
used the continuous kernel proposed by Salomir, et al. 2003.",Yes (required)
0.8333333,2.1666667,1.1666666,0.16666669,1,0.3333333,0.8333333,1.3888888,54.05408,63.44985,77.48882,110.5351,32.18755,0.03094596,0.03484325,10.58926,0.029255975,0.961382666235206,0.642546453335072,44.57061,0.84392941,0.42991641,52.724239,99.206711,0.957813523955735,0.636434353366339,45.331039,52.859005,93.709564,-2.54E-10,9feq374hD1,0,9feq374hD1_Sim1_Step1.nii.gz,9feq374hD1_Sim2_Step1.nii.gz,HEIDI with Anisotropic Diffusion Filtering,A HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient. The resulting HEIDI susceptibility map was denoised by Anisotropic Diffusion Filtering.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067

Perona, P., Malik, J., 1990. Scale-space and edge detection using anisotropic diffusion. IEEE Trans Pattern Anal Mach Intell 12, 629–639. https://doi.org/10.1109/34.56205

Combination unpublished.",No.,Maybe,"HEIDI identical to 9feq374hs2
Diffusion filtering using 6 iterations, timestep 0.125, conductance 1.",Yes (required)
0.8333333,1.6666666,1.1666666,0.16666669,0.6666666,0.16666669,0.8333333,1.2222222,54.68177,63.98056,77.90031,110.6846,32.65215,0.0293777,0.03562876,10.58926,0.039208602,0.958765881944896,0.65123562386201,44.614418,0.8419041,0.43004248,53.538376,101.83238,0.956030194589898,0.648646845081879,45.509506,53.3666,94.079437,-9.92E-11,9feq374hD2,0,9feq374hD2_Sim1_Step1.nii.gz,9feq374hD2_Sim2_Step1.nii.gz,HEIDI with Anisotropic Diffusion Filtering,A HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient. The resulting HEIDI susceptibility map was denoised by Anisotropic Diffusion Filtering.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067 Perona, P.,
 Malik, J., 1990. Scale-space and edge detection using anisotropic diffusion. IEEE Trans Pattern Anal Mach Intell 12, 629–639. https://doi.org/10.1109/34.56205 
Combination unpublished.
",No.,Maybe,"HEIDI identical to 9feq374hs2 D
iffusion filtering using 2 iterations, timestep 0.125, conductance 1.",Yes (required)
3,3,3,0,0,1,0.5,3,202.4339,215.4176,280.2911,220.428,128.3541,0.02368847,0.1499576,24.77312,0.71436286,0.768261682332627,0.14591119520953,83.680817,0.42927256,0.34762752,214.02664,604.39185,0.808086875034496,0.184142448035888,82.393021,90.332825,142.51012,-4.38E-11,9feq374hs0,0,9feq374hs0_Sim1_Step1.nii.gz,9feq374hs0_Sim2_Step1.nii.gz,Thresholded K-Space Division,ThKD,Inverse filtering (TKD-like),No,None or does not apply,Individual echo phase images,This is the Thresholded K-Space Division algorithm proposed originally by Shmueli et al. in 2009 [1]. ,"[1] Shmueli, K., de Zwart, J.A., van Gelderen, P., Li, T.-Q., Dodd, S.J., Duyn, J.H., 2009. Magnetic susceptibility mapping of brain tissue in vivo using MRI phase data. Magn Reson Med 62, 1510–1522. https://doi.org/10.1002/mrm.22135",Not sure. One of the public QSM packages may contain it. Implementation is straightforward,Yes,"We used a relatively low value of 0.01 for thresholding the unit dipole response function, i.e. a minimal amount of regularization. Note, the original paper by Shmueli et al. defined the threshold value based on the inverse dipole filter whereas our parameter refers to the forward dipole function.",Yes (required)
1,0.6666667,1.3333334,0.3333333,0.6666666,0.3333333,0.8333333,1,54.25712,64.09628,78.33482,110.0192,31.6439,0.02339515,0.04544255,16.49189,0.028028041,0.945986069370323,0.639279950912425,46.065365,0.84150934,0.42975277,54.246971,95.653198,0.944175566592752,0.640333935243984,46.510468,53.878731,92.311127,-4.44E-11,9feq374hs1,0,9feq374hs1_Sim1_Step1.nii.gz,9feq374hs1_Sim2_Step1.nii.gz,HEIDI with non-susceptibility offset regularization,NO HEIDI,Spatial-domain iterative reconstruction,No,"L2, Total-Variation",Individual echo phase images,"This technique uses the original HEIDI approach but instead of using a little regularized Tikhonov-solution as initial guess, it uses the algorithm in Ref [2], which is a regularized algorithm that includes a second solution component for non-susceptibility contributions.","[1] Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067

[2] Schweser, F., Deistung, A., Lehr, B.W., Reichenbach, J.R., 2010. Differentiation Between Diamagnetic and Paramagnetic Cerebral Lesions Based on Magnetic Susceptibility Mapping. Med Phys 37, 5165–5178. https://doi.org/10.1118/1.3481505
",No,Maybe,"Threshold for definition of ill-posed domain (t_ill) = 0.14
Regularization parameter beta = 1/4/pi",Yes (required)
0.5,0.6666667,1.5,0.16666669,0.6666666,0.16666669,0.8333333,0.8888889,55.98745,65.57042,80.42409,110.9333,33.15614,0.02865458,0.03592549,10.71452,0.049408954,0.951871964407594,0.630877925849595,44.816692,0.8358295,0.42640239,55.452682,107.02759,0.949664648034391,0.632813108652841,45.960857,54.746033,96.651398,1.33E-10,9feq374hs2,0,9feq374hs2_Sim1_Step1.nii.gz,9feq374hs2_Sim2_Step1.nii.gz,Homogeneity Enables Incremental Dipole Inversion,HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067",No.,Maybe,Threshold for definition of ill-posed domain (t_ill) = 0.14,Yes (required)
0.6666667,1.3333334,1.1666666,0.16666669,1,0.3333333,0.6666666,1.0555556,66.13439,85.68789,111.4669,138.4842,41.63694,0.02579311,0.03786538,7.857342,0.054328144,0.969635432145008,0.52698106913129,54.002266,0.75900674,0.35364535,65.270409,122.13015,0.965274798915092,0.518903799516758,55.451977,65.197983,110.52704,-8.51E-11,9feq374hs3,0,9feq374hs3_Sim1_Step1.nii.gz,9feq374hs3_Sim2_Step1.nii.gz,Homogeneity Enabled Incremental Dipole Inversion,HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067",No.,Maybe,Threshold for definition of ill-posed domain (t_ill) = 0.2,Yes (required)
1,0.6666667,1.8333334,0.16666669,0.3333333,0,0.8333333,1.1666666,56.49127,64.52245,77.89326,107.9815,35.4244,0.02094233,0.0395356,11.65967,0.072086431,0.936114055687619,0.631118197685167,41.228783,0.83977115,0.43810511,56.34491,119.57061,0.935747081264252,0.641334385200669,43.092888,54.13913,102.31366,-5.14E-11,9feq374hs4,0,9feq374hs4_Sim1_Step1.nii.gz,9feq374hs4_Sim2_Step1.nii.gz,Homogeneity Enabled Incremental Dipole Inversion,HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067",No,Maybe,Threshold for definition of ill-posed domain (t_ill) = 0.05,Yes (required)
2,0.8333333,1,1,1,1,0.5,1.2777778,58.18459,70.80226,85.11833,102.8734,45.07985,0.3779193,0.1307978,47.43565,0.030549338,0.926512579368234,0.603850842717714,54.69043,0.81607336,0.44112626,57.928822,85.079292,0.926720989052503,0.60905825766761,53.994698,57.330833,87.863297,-1.23E-10,9feq374hs5,0,9feq374hs5_Sim1_Step1.nii.gz,9feq374hs5_Sim2_Step1.nii.gz,Superfast Dipole Inversion,SDI,Inverse filtering (TKD-like),No,None or does not apply,Individual echo phase images,Original SDI algorithm,"Schweser, F., Deistung, A., Sommer, K., Reichenbach, J.R., 2013. Toward online reconstruction of quantitative susceptibility maps: Superfast dipole inversion. Magn Reson Med 69, 1581–93. https://doi.org/10.1002/mrm.24405",No,Yes,,Yes (required)
1.3333334,1.3333334,0.33333334,1,1,0.5,0.8333333,1,73.36494,107.1984,138.7065,244.4581,52.56421,0.1507839,0.1208574,42.02193,0.042169504,0.896747120858109,0.496653142237544,57.163181,0.73876655,0.41226095,69.357788,74.919479,0.923093946731851,0.504059926018525,56.535339,68.634918,75.506042,-8.86E-11,9u67upxwlc,0,9u67upxwlc_Sim1_Step1.nii,9u67upxwlc_Sim2_Step1.nii,Quantitative Susceptibility Mapping using Deep Neural Network with enhanced linearity,QSMnet+,Deep Learning,No,None or does not apply,Individual echo phase images,"Training data: 5 healthy control data with 5 head orientation. 5 additional data were augmented by dipole convolution, rotation and applying linear scaling factor on positive susceptibility value. Both original and additional data were inverted to generate augmented data again. Total 20 head orientation data for each control were utilized.
Phase processing: BET, Laplacian phase unwrapping, V-SHARP
3D U-net structure, patch size = 64 x 64 x 64
Loss function: l1loss + model loss + gradient loss",https://cds.ismrm.org/protected/19MPresentations/abstracts/0317.html,,Yes,"In data augmentation stage, linear scaling factor = 4 was applied.
initial learning rate = 0.001, decaying step = 800, activation function = leaky ReLU with slope = 0.1",Yes (required)
0.8333333,0.8333333,0.16666667,0.3333333,1,0.5,0.8333333,0.6111111,65.54764,84.27451,106.0341,169.4915,34.65584,0.105867,0.1246692,43.28749,0.069792449,0.919896710300549,0.507021757434212,57.241539,0.75665504,0.42133951,66.815758,73.969376,0.927144291437632,0.525677789820609,56.080444,65.518639,74.207733,2.69E-10,9uErOsxGtr,1,9uErOsxGtr_Sim1_Step1.nii,9uErOsxGtr_Sim2_Step1.nii,Contrast Augmented Dual-frame QSMNet,CAD QSMNet,Deep Learning,No,None or does not apply,Individual echo phase images,"An architecture similar to the dual-frame U-net [1] was implemented and trained for reconstruction. Training input data was acquired from 7 healthy subjects and labeled with COSMOS as in [2]. We doubled the dataset by adding chi maps multiplied by 2, whose corresponding local field maps were generated by dipole convolution. One simulated calcification region was also added to the augmented map. We used L1 loss and optimized the network with Adam for 23 epochs.","[1] Lee, Dongwook, et al. ""Deep residual learning for accelerated MRI using magnitude and phase networks."" IEEE Transactions on Biomedical Engineering 65.9 (2018): 1985-1995.

[2] Yoon, Jaeyeon, et al. ""Quantitative susceptibility mapping using deep neural network: QSMnet."" NeuroImage 179 (2018): 199-206.",No,Yes,"Adam optimizer: lr=5e-3, beta1=0.9, beta2=0.999, eps=1e-8
Batch size: 12",Yes (required)
